id,price,baths,rooms,sqft,description,location
200001,875000,3,4,2400,"Stunning four bedroom three bathroom craftsman in the heart of LoDo. Fully renovated with original character preserved. Hardwood floors throughout, chef kitchen with Viking appliances and marble countertops, finished basement with wet bar, and a rooftop deck with panoramic views of downtown Denver and the Rocky Mountains. Walk to Union Station, Coors Field, and Larimer Square. Detached two car garage.",LoDo
200002,525000,2,3,1650,"Charming three bedroom brick bungalow in the RiNo arts district. Updated kitchen with quartz counters and stainless appliances, refinished hardwood floors, two updated bathrooms, and a fenced backyard with raised garden beds. Detached garage converted to a studio workshop. Steps from Denver Central Market, galleries, and the River North Greenway trail.",RiNo
200003,425000,2,2,1200,"Classic two bedroom two bathroom Capitol Hill Victorian with tons of character. Original woodwork, stained glass windows, and a claw foot tub. Updated kitchen with gas range, central air added, and a private front porch. Walk to restaurants and bars on Broadway and Colfax. Two blocks from Cheesman Park. Off-street parking pad.",Capitol Hill
200004,1350000,3,5,3200,"Luxurious five bedroom three bathroom home in Cherry Creek with designer finishes throughout. Open concept main floor with floor to ceiling windows, gourmet kitchen with Sub-Zero and Wolf appliances, primary suite with spa bathroom and walk-in closet. Finished basement with home theater and wine cellar. Landscaped yard with outdoor kitchen. Two blocks from Cherry Creek Shopping Center. Three car garage.",Cherry Creek
200005,785000,2,3,2100,"Beautiful three bedroom two bathroom Wash Park Tudor on a tree-lined street. Original charm with arched doorways and built-in shelving, updated kitchen and bathrooms, finished basement, and a spacious backyard with mature landscaping. One block from Washington Park with direct access to the park loop trail. Detached two car garage.",Wash Park
200006,650000,2,3,1800,"Three bedroom two bathroom Highland home with mountain views from the upper level. Open floor plan, modern kitchen with island seating and custom cabinetry, hardwood floors, and a covered back patio. Fenced yard with room for dogs. Short walk to restaurants on 32nd Avenue and Highlands Square. Attached two car garage.",Highland
200007,475000,2,2,1400,"Updated two bedroom two bathroom Baker bungalow with an industrial modern vibe. Open concept living with exposed brick, polished concrete floors in the basement, and a bright updated kitchen. Fenced backyard with a fire pit. Walking distance to South Broadway shops, antique row, and the Broadway light rail station. One car garage.",Baker
200008,725000,3,4,2200,"Four bedroom three bathroom home overlooking Sloan Lake with stunning sunset and mountain views from the front porch. Renovated kitchen with farmhouse sink and butcher block island, hardwood floors, finished basement with fourth bedroom and bathroom. Steps from the Sloan Lake loop trail and Edgewater Public Market. Detached two car garage.",Sloan Lake
200009,550000,2,3,1700,"Three bedroom two bathroom City Park bungalow with views of the park and the Museum of Nature and Science. Bright open layout with updated kitchen, refinished hardwood floors, and a sunroom perfect for a home office. Full basement with laundry and storage. Walk to the Denver Zoo and City Park Jazz in the summer. One car garage.",City Park
200010,495000,2,3,1600,"Solid three bedroom two bathroom Park Hill ranch on a quiet residential street. Recently updated kitchen with new appliances, refinished hardwood floors, large backyard with patio and mature trees. Full unfinished basement with expansion potential. Close to Montview Boulevard shops and restaurants. Attached one car garage.",Park Hill
200011,695000,3,4,2400,"Four bedroom three bathroom home in a Stapleton development with a modern open floor plan. Nine foot ceilings, kitchen island with granite counters, primary suite with walk-in closet, and a finished basement with rec room. Community pool and parks. Near the Stanley Marketplace, Founders Green, and Anschutz Medical Campus. Two car garage.",Stapleton
200012,385000,1,2,1100,"Affordable two bedroom one bathroom brick row home in historic Five Points. Exposed brick walls, updated kitchen and bath, hardwood floors, and good natural light. Small fenced backyard. Walking distance to Welton Street restaurants, jazz venues, and the 38th and Blake light rail station. Street parking.",Five Points
